       cb1,       sig,       cb2,       kar,       cw2,       cw3,       cv1,         X,         Y 
  0.138004,  0.650767,  0.672100,  0.367425,  0.305200,  2.746922,  7.014765,  1.106006,  0.001201 
  0.129609,  0.789770,  0.625646,  0.393878,  0.069849,  2.727257,  7.259504,  1.106006,  0.001201 
  0.131539,  0.660400,  0.687767,  0.411690,  0.100481,  2.717511,  6.903696,  1.106006,  0.001201 
  0.138718,  0.624294,  0.699076,  0.381497,  0.064390,  2.739731,  7.321227,  1.106006,  0.001201 
  0.134859,  0.743178,  0.636511,  0.365368,  0.191032,  2.725638,  6.916929,  1.106006,  0.001201 
  0.137912,  0.677701,  0.616593,  0.364329,  0.180366,  2.645984,  7.486520,  1.106006,  0.001201 
  0.139297,  0.734453,  0.610099,  0.372631,  0.171679,  2.691908,  7.143061,  1.106006,  0.001201 
  0.138033,  0.611085,  0.645987,  0.418146,  0.096549,  2.273317,  6.969320,  1.106006,  0.001201 
  0.130883,  1.391995,  0.682410,  0.362202,  0.311102,  1.995329,  7.376320,  1.106006,  0.001201 
  0.130161,  0.677023,  0.673200,  0.382227,  0.055581,  2.517457,  6.983322,  1.106006,  0.001201 
  0.131659,  0.885718,  0.621293,  0.371319,  0.277942,  2.738812,  7.452511,  1.106006,  0.001201 
  0.129691,  0.744154,  0.694013,  0.416101,  0.073529,  2.284783,  7.129613,  1.106006,  0.001201 
  0.129028,  0.910036,  0.628186,  0.381153,  0.202800,  2.746528,  7.180431,  1.106006,  0.001201 
  0.133969,  0.835603,  0.684941,  0.363173,  0.175624,  2.712640,  7.165151,  1.106006,  0.001201 
  0.134933,  0.615352,  0.691485,  0.396073,  0.335869,  2.588694,  7.244683,  1.106006,  0.001201 
  0.139901,  0.883035,  0.680443,  0.417650,  0.056656,  2.419977,  7.403051,  1.106006,  0.001201 
  0.139405,  0.605842,  0.618310,  0.370434,  0.285127,  2.238961,  7.333253,  1.106006,  0.001201 
  0.137675,  0.987369,  0.696122,  0.366511,  0.294755,  2.720124,  7.145029,  1.106006,  0.001201 
  0.139148,  0.602116,  0.639326,  0.405423,  0.155192,  2.653293,  6.919019,  1.106006,  0.001201 
  0.130110,  0.647461,  0.642778,  0.411303,  0.270696,  2.695002,  7.468998,  1.106006,  0.001201 
  0.131274,  0.862063,  0.657633,  0.395067,  0.345375,  2.743845,  7.114893,  1.106006,  0.001201 
  0.137569,  0.685152,  0.661571,  0.414044,  0.078581,  2.092301,  7.355494,  1.106006,  0.001201 
  0.132732,  1.239580,  0.687980,  0.361141,  0.338153,  2.399888,  7.143607,  1.106006,  0.001201 
  0.137079,  0.604920,  0.684409,  0.416486,  0.323901,  2.415250,  7.491541,  1.106006,  0.001201 
  0.138949,  1.380398,  0.641534,  0.419531,  0.204832,  2.169066,  7.480600,  1.106006,  0.001201 
  0.130480,  0.628440,  0.651355,  0.419924,  0.291478,  2.602043,  6.981597,  1.106006,  0.001201 
  0.131316,  0.889755,  0.654883,  0.363985,  0.269520,  2.648667,  7.212062,  1.106006,  0.001201 
  0.138293,  0.969661,  0.653559,  0.418712,  0.349551,  2.740269,  6.973918,  1.106006,  0.001201 
  0.134729,  1.122633,  0.689290,  0.419824,  0.242710,  2.749053,  6.949479,  1.106006,  0.001201 
  0.136760,  0.852918,  0.619905,  0.418971,  0.066772,  2.070199,  7.223340,  1.106006,  0.001201 
